MatchId	Home midfield	Away midfield	Home Right Defence	Away Right Defence	Home Central Defence	Away Central Defence	Home Left Defence	Away Left Defence	Home Right Attack	Away Right Attack	Home Central Attack	Away Central Attack	Home Left Attack	Away Left Attack	Home Indirect Defence	Away Indirect Defence	Home Indirect Attack	Away Indirect Attack	Home Attitude	Away Attitude	Home Tactic	Away Tactic	Home Tactic Level	Away Tactic Level	Home Goals	Away Goals	Sum home	Sum away
631162607	66	44	63	71	60	66	58	72	70	63	52	23	72	63	46	47	35	33	(Hidden)	(Hidden)	Normal	Counter-attacks	(no tactic)	21	2	2	522	482
631162648	77	64	47	59	45	55	44	58	66	63	75	46	68	70	51	45	46	33	(Hidden)	(Hidden)	Normal	Normal	(no tactic)	(no tactic)	2	2	519	493
631162600	64	62	63	31	61	55	61	67	66	42	50	70	69	60	46	47	34	39	(Hidden)	(Hidden)	Normal	Normal	(no tactic)	(no tactic)	4	2	514	473
631162615	57	38	64	75	59	56	69	62	59	63	43	29	64	62	45	48	34	41	(Hidden)	(Hidden)	Normal	Counter-attacks	(no tactic)	16	3	0	494	474
631162681	50	30	70	48	68	49	71	52	53	41	49	44	54	48	44	38	35	30	(Hidden)	(Hidden)	Normal	Pressing	(no tactic)	8	4	0	494	380
631163239	50	20	101	39	117	43	104	43	5	55	6	24	6	58	59	25	46	22	(Hidden)	(Hidden)	Long shots	Counter-attacks	18	11	5	0	494	329
631162643	61	47	59	63	54	68	56	64	68	61	42	31	70	58	47	47	36	32	(Hidden)	(Hidden)	Normal	Normal	(no tactic)	(no tactic)	2	1	493	471
631162678	51	27	63	55	56	50	61	55	62	55	40	24	62	51	52	36	45	26	(Hidden)	(Hidden)	Normal	Counter-attacks	(no tactic)	22	4	2	492	379
631162705	59	35	58	54	55	49	62	46	59	53	37	60	61	33	53	37	45	31	(Hidden)	(Hidden)	Normal	Normal	(no tactic)	(no tactic)	6	2	489	398
631162641	62	36	44	73	49	75	49	75	61	31	68	23	64	31	49	49	42	35	(Hidden)	(Hidden)	Normal	Pressing	(no tactic)	9	3	1	488	428
631162689	48	50	64	45	58	35	66	44	61	47	37	38	57	52	52	42	45	32	(Hidden)	(Hidden)	Normal	Normal	(no tactic)	(no tactic)	5	2	488	385
631162670	58	41	71	52	62	47	66	48	50	49	33	49	52	50	51	38	44	32	(Hidden)	(Hidden)	Normal	Normal	(no tactic)	(no tactic)	5	1	487	406
631162598	52	39	58	73	66	70	63	77	52	62	53	20	52	62	47	47	41	32	(Hidden)	(Hidden)	Normal	Counter-attacks	(no tactic)	22	1	0	484	482
631162690	59	55	61	45	61	38	61	34	56	67	51	33	54	51	45	45	36	35	(Hidden)	(Hidden)	Normal	Attack on wings	(no tactic)	24	3	1	484	403
631162777	60	57	56	86	55	100	49	80	55	6	66	8	55	6	46	56	41	48	(Hidden)	(Hidden)	Normal	Long shots	(no tactic)	19	1	0	483	447
631162623	46	29	72	67	52	67	75	61	63	57	33	40	64	55	44	49	33	41	(Hidden)	(Hidden)	Attack on wings	Counter-attacks	23	16	4	1	482	466
631162666	52	29	62	72	49	72	59	74	62	52	55	23	69	56	41	52	33	41	(Hidden)	(Hidden)	Attack on wings	Counter-attacks	25	22	2	1	482	471
631162698	44	44	63	39	60	46	59	35	60	45	54	60	58	54	46	38	37	33	(Hidden)	(Hidden)	Normal	Normal	(no tactic)	(no tactic)	3	1	481	394
631163246	66	36	91	47	103	50	91	47	7	29	8	38	8	31	60	41	47	28	(Hidden)	(Hidden)	Long shots	Normal	18	(no tactic)	1	0	481	347
631162632	55	28	57	80	50	59	57	78	63	55	48	31	70	53	44	46	33	36	(Hidden)	(Hidden)	Normal	Counter-attacks	(no tactic)	20	3	0	477	466
631162652	53	35	58	63	55	75	58	72	66	46	45	28	60	46	47	43	34	29	(Hidden)	(Hidden)	Normal	Pressing	(no tactic)	11	1	0	476	437
631162633	50	44	74	71	49	59	71	74	58	73	30	35	58	78	48	47	37	35	(Hidden)	(Hidden)	Attack on wings	Counter-attacks	28	16	0	3	475	516
631162677	54	41	60	28	79	38	57	24	49	38	52	82	47	38	44	32	33	28	(Hidden)	(Hidden)	Normal	Play creatively	(no tactic)	20	4	2	475	349
631162614	81	65	47	25	68	33	46	23	40	38	56	75	43	37	50	47	43	57	(Hidden)	(Hidden)	Normal	Long shots	(no tactic)	23	4	2	474	400
631162812	66	45	86	44	97	37	86	23	7	75	8	78	6	47	61	32	57	31	(Hidden)	(Hidden)	Long shots	Normal	22	(no tactic)	5	2	474	412
631162660	52	27	69	55	68	50	65	57	49	60	46	26	49	54	41	35	33	26	(Hidden)	(Hidden)	Normal	Counter-attacks	(no tactic)	21	5	0	472	390
631162667	63	36	54	56	49	52	52	59	67	58	41	26	69	54	43	36	34	27	(Hidden)	(Hidden)	Normal	Counter-attacks	(no tactic)	21	4	2	472	404
